,Instance,List,Gap,Time,Nodes,ObjVal,ObjVal_h,Time_h,Structure,Pct,Model
66,3,3,0.7419609457466517,0.0,53820.0,2246.928295847858,3000.8152284087405,466.2887239456177,Grid,Alpha-e,MTZ
67,3,3,0.8311834535232693,0.0,39538.0,2704.6457096715744,2836.332604565013,515.6960179805756,Delauney,Alpha-e,MTZ
68,4,3,0.7768337867902771,0.0,48776.0,2349.1302265325526,3474.7097450599326,570.5476949214935,Grid,Alpha-e,MTZ
69,4,3,0.804777481622514,0.0,37036.0,2585.4439551899964,2807.500771810951,514.6892788410187,Delauney,Alpha-e,MTZ
70,0,3,0.7090502310528026,0.0,86367.0,1860.3073114736978,2680.3070446067827,365.7839608192444,Grid,Alpha-g,MTZ
71,0,3,0.7829515584327371,0.0,38565.0,1760.5029596477582,2009.2817720352862,513.8002471923828,Delauney,Alpha-g,MTZ
72,1,3,0.7131547274115032,0.0,83267.0,2190.0025748189623,3017.0395162766977,593.4213416576385,Grid,Alpha-g,MTZ
73,1,3,0.8163768176235295,0.0,34660.0,1917.8174156199898,2025.5740885381108,675.0837194919586,Delauney,Alpha-g,MTZ
74,2,3,0.7306454714830449,0.0,65529.0,1801.8744354787673,3148.829345250306,389.52330112457275,Grid,Alpha-g,MTZ
75,2,3,0.7650423611910031,0.0,39133.0,2282.0593208379823,3171.1762311823836,639.5401818752289,Delauney,Alpha-g,MTZ
76,3,3,0.7078618885469465,0.0,48084.0,2091.0099069971448,2519.634124878336,570.191623210907,Grid,Alpha-g,MTZ
77,3,3,0.7408064633994592,0.0,40957.0,2585.922390087316,3363.9038894530954,574.5911738872528,Delauney,Alpha-g,MTZ
78,4,3,0.6934232311089108,0.0,80201.0,1955.8593422379295,2952.0052828470957,542.4093589782715,Grid,Alpha-g,MTZ
79,4,3,0.7682053698611107,0.0,34223.0,2171.6852805598733,2716.9072628569934,511.48642468452454,Delauney,Alpha-g,MTZ
