,Instance,List,GAP,Time,Nodes,Obj,Type,Pct,Model,Mode
99,1,1,0.23468415713471721,7200.155956029892,234938.0,1335.7428337084632,Grid,Alpha-g,MTZ,2
100,1,1,0.9083289234578817,0.0,72132.0,1521.780488536803,Grid,Alpha-g,Stages,3
101,1,1,0.33835151225247134,7200.407051086426,142644.0,1316.862824652926,Grid,Alpha-g,MTZ,3
102,2,1,0.9243534490809726,0.0,76692.0,1357.2575216672458,Grid,Alpha-g,Stages,1
103,2,1,0.3485444996706964,7200.178883075714,520770.0,1354.2135317564305,Grid,Alpha-g,MTZ,1
104,2,1,0.9287070116052674,0.0,109896.0,1440.1395219199421,Grid,Alpha-g,Stages,2
105,2,1,0.09115245187646566,7200.134026050568,148221.0,1266.5583490227773,Grid,Alpha-g,MTZ,2
106,2,1,0.9308096285911632,0.0,70312.0,1483.9037301355088,Grid,Alpha-g,Stages,3
107,2,1,0.4127242414736833,7200.285315990448,82875.0,1390.8066053167702,Grid,Alpha-g,MTZ,3
108,3,1,0.9194664545452563,0.0,74529.0,1407.9023594055864,Grid,Alpha-g,Stages,1
109,3,1,0.3407454895082353,7200.2428460121155,374979.0,1381.027291839327,Grid,Alpha-g,MTZ,1
110,3,1,0.9238358891275698,0.0,79730.0,1488.671860778893,Grid,Alpha-g,Stages,2
111,3,1,0.2286628086961034,7200.205096006393,72006.0,1487.6115921673143,Grid,Alpha-g,MTZ,2
112,3,1,0.930447687300766,0.0,61545.0,1630.1883324474861,Grid,Alpha-g,Stages,3
113,3,1,0.4090873490879773,7200.161463022232,225317.0,1531.2865770738078,Grid,Alpha-g,MTZ,3
114,4,1,0.9126267775015033,0.0,68612.0,1504.0504425699803,Grid,Alpha-g,Stages,1
115,4,1,0.35677902193849165,7200.1700320243835,401829.0,1517.2986870503348,Grid,Alpha-g,MTZ,1
116,4,1,0.9142879225022623,0.0,61821.0,1533.1997287208223,Grid,Alpha-g,Stages,2
117,4,1,0.34187079981624896,7200.218919038773,176371.0,1540.977311535546,Grid,Alpha-g,MTZ,2
118,4,1,0.9226483489225337,0.0,46112.0,1698.9131083449092,Grid,Alpha-g,Stages,3
119,4,1,0.46501065410772074,7200.2202479839325,161567.0,1564.7905364518456,Grid,Alpha-g,MTZ,3
